"Date","PaperID","Dead","Alive","TotalMos","ExposureDay","Month","RawMortProp"
"19/09/23",14,19,5,24,2,"September",0.791666666666667
"19/09/23",15,19,6,25,2,"September",0.76
"19/09/23",16,22,2,24,2,"September",0.916666666666667
"19/09/23",17,18,6,24,2,"September",0.75
"19/09/23",18,15,10,25,2,"September",0.6
"19/09/23",19,15,11,26,2,"September",0.576923076923077
"19/09/23",20,15,10,25,2,"September",0.6
"19/09/23",21,20,5,25,2,"September",0.8
"19/09/23",22,17,9,26,2,"September",0.653846153846154
"19/09/23",23,18,7,25,2,"September",0.72
"19/09/23",24,16,9,25,2,"September",0.64
"19/09/23",25,14,12,26,2,"September",0.538461538461538
"20/09/23",4,9,14,23,3,"September",0.391304347826087
"20/09/23",5,10,11,21,3,"September",0.476190476190476
"20/09/23",6,13,10,23,3,"September",0.565217391304348
"20/09/23",7,15,9,24,3,"September",0.625
"20/09/23",8,17,5,22,3,"September",0.772727272727273
"20/09/23",9,19,6,25,3,"September",0.76
"20/09/23",10,21,2,23,3,"September",0.91304347826087
"20/09/23",11,8,12,20,3,"September",0.4
"20/09/23",12,17,5,22,3,"September",0.772727272727273
"20/09/23",13,18,7,25,3,"September",0.72
"20/09/23",14,18,7,25,3,"September",0.72
"20/09/23",15,8,18,26,3,"September",0.307692307692308
"20/09/23",16,21,4,25,3,"September",0.84
"20/09/23",17,9,16,25,3,"September",0.36
"20/09/23",18,15,11,26,3,"September",0.576923076923077
"20/09/23",19,14,11,25,3,"September",0.56
"20/09/23",20,21,0,21,3,"September",1
"20/09/23",21,20,5,25,3,"September",0.8
"20/09/23",22,10,14,24,3,"September",0.416666666666667
"20/09/23",23,4,22,26,3,"September",0.153846153846154
"20/09/23",24,4,23,27,3,"September",0.148148148148148
"20/09/23",25,9,9,18,3,"September",0.5
"21/09/23",5,5,18,23,4,"September",0.217391304347826
"21/09/23",6,9,15,24,4,"September",0.375
"21/09/23",7,9,14,23,4,"September",0.391304347826087
"21/09/23",8,15,8,23,4,"September",0.652173913043478
"21/09/23",9,3,22,25,4,"September",0.12
"21/09/23",10,6,17,23,4,"September",0.260869565217391
"21/09/23",11,6,20,26,4,"September",0.230769230769231
"21/09/23",12,14,10,24,4,"September",0.583333333333333
